id;wins;totalChampionKills
101133;800;10470
101134;299;4531
101135;321;4853
101136;1592;20645
101138;1652;28435
101141;1376;19315
101144;1628;19824
101146;600;6866
101147;370;4041
101148;922;9606
101150;1174;18562
101151;1239;13951
101153;1650;20966
101154;986;13158
101155;727;8665
101157;1539;29069
101165;902;15645
101166;1389;11300
101169;666;8479
101170;1021;11773
101178;969;14418
101179;1294;18187
101180;648;10723
101182;1155;16875
101183;1295;17608
101186;622;6332
101190;1260;17411
101192;1387;18913
101193;999;11810
101196;762;11773
101201;537;4590
101202;970;12750
101207;1234;9631
101208;422;5431
101210;1674;21500
101211;1022;10708
101212;820;10986
101214;956;10753
101216;498;4889
101218;990;15544
101220;661;8708
101225;762;13230
101226;1386;23604
101228;1361;24381
101231;566;7763
101234;691;7307
101236;1520;30237
101238;3147;42575
101239;704;9020
101241;1055;11624
101242;1652;36112
101243;905;12750
101245;993;14403
101246;1426;21498
101247;1204;14357
101249;748;8560
101251;1758;23883
101252;567;6204
101253;1045;15760
101254;610;8890
101255;53;566
101256;1006;12872
101258;490;5692
101260;214;2460
101261;584;7565
101263;1212;13357
101264;3473;43340
101265;1019;13310
101267;1027;10888
101268;1296;15215
101270;1779;21839
101271;803;10431
101272;647;7453
101274;279;3547
101279;558;11136
101280;831;9007
101281;806;8046
101282;1914;21532
101283;1586;24830
101285;480;8060
101287;711;7537
101288;851;11295
101290;1587;15905
101291;1811;25287
101292;1153;10257
101293;529;5644
101295;1101;18591
101302;1852;24737
101305;1356;14578
101311;728;9743
101315;1687;24772
101320;1515;25845
101323;928;12196
101324;2163;29764
101325;711;2811
101327;197;2497
101329;1111;12541
101335;901;13314
101336;991;14769
101338;431;4524
101343;1129;9836
101347;900;12138
101348;1422;19624
101349;1504;26007
101350;1002;11601
101351;1831;21767
101353;1753;27473
101354;992;16547
101355;1748;24063
101356;752;7491
101357;593;7130
101360;1081;11833
101365;1764;28482
101368;968;12408
101371;563;9788
101372;2500;42844
101373;1126;15712
101379;1017;13712
101380;428;4490
101382;891;11295
101384;599;8601
101386;1077;14888
101388;534;5782
101392;1007;14825
101393;284;3864
101395;1192;15846
101398;742;9935
101401;1705;25363
101403;771;13123
101405;64;618
101406;639;8692
101407;453;7088
101408;910;7850
101410;555;6493
101413;1213;16947
101414;1161;13315
101416;677;9998
101418;870;10683
101419;1048;14306
101420;694;7903
101421;170;2415
101423;695;9846
101425;1183;11722
101426;240;2817
101427;1059;16043
101430;689;6180
101431;890;11224
101433;1558;13501
101435;1669;22496
101437;1297;15878
101438;484;4557
101439;917;14336
101443;748;10819
101444;2119;30283
101448;275;2248
101449;158;2377
101450;2366;32092
101451;1078;14162
101452;1311;15684
101453;717;8428
101455;1021;11218
101456;994;12646
101457;1459;16520
101459;1342;16928
101460;1354;21034
101466;104;702
101468;1058;13635
101469;1807;22412
101470;1030;16268
101471;1630;23046
101474;1233;15317
101476;1175;15168
101480;974;13129
101484;583;5449
101485;738;11097
101486;438;6465
101489;344;4562
101490;774;6604
101493;991;15175
101496;1168;14275
101497;1344;13922
101499;836;12954
101500;282;3555
101501;1583;18452
101508;439;5787
101509;1151;16594
101510;1242;19239
101511;1019;13433
101513;808;5751
101515;1288;18815
101524;466;4445
101527;678;8610
101529;1510;19128
101531;387;5273
101533;1165;17613
101534;842;11828
101537;1611;22095
101538;606;7052
101539;167;2156
101544;1155;12976
101546;1025;17706
101547;1534;28615
101548;192;2467
101550;816;8905
101552;1520;22197
101555;1597;19698
101556;1077;11001
101557;523;7188
101562;611;7321
101565;959;11361
101568;211;1723
101569;980;12019
101572;958;6606
101574;1716;27464
101575;1306;16635
101584;732;6676
101587;190;2738
101588;1756;20967
101590;577;4868
101592;665;10571
101593;1865;12048
101594;776;9427
101596;866;10233
101597;1116;11832
101599;732;7576
101602;590;6244
101603;2003;27736
101604;453;5226
101605;659;9062
101606;454;7168
101609;919;10671
101611;1563;16298
101613;1193;9701
101614;1409;21102
101616;970;15408
101617;1334;18076
101618;2079;34883
101621;2271;27033
101622;1500;19834
101624;1041;17898
101625;743;10353
101629;1835;31296
101630;1212;23356
101631;169;1625
101633;1129;15146
101634;1179;10963
101636;754;6648
101637;1186;15423
101638;604;7091
101639;1018;12208
101641;444;3128
101642;935;13345
101643;344;4129
101644;902;8104
101646;1403;17618
